Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2019-07-30,124.4,124.4,121.4,122.8,-1.13,3287.0,80.0,402.55
2019-07-29,125.0,125.2,123.6,124.2,-0.64,4446.0,77.0,551.5
2019-07-26,125.2,126.2,124.4,125.0,0.16,4547.0,114.0,568.51
2019-07-25,123.8,126.4,123.0,124.8,0.97,5590.0,136.0,695.34
2019-07-24,124.0,125.0,123.4,123.6,0.16,1354.0,53.0,167.83
2019-07-23,124.0,124.8,122.6,123.4,0.16,2027.0,68.0,249.86
2019-07-22,124.2,125.4,122.6,123.2,-0.81,1418.0,74.0,175.34
2019-07-19,122.6,125.2,122.6,124.2,1.31,3480.0,97.0,432.63
2019-07-18,120.6,124.0,120.4,122.6,1.66,7315.0,200.0,897.04
2019-07-17,119.6,121.6,119.6,120.6,1.34,4155.0,105.0,501.84
2019-07-16,121.8,123.0,118.0,119.0,-2.14,9380.0,238.0,1129.73
2019-07-15,124.0,124.4,121.6,121.6,-1.78,6588.0,136.0,809.96
2019-07-12,122.6,124.0,122.6,123.8,0.16,2257.0,66.0,278.51
2019-07-11,126.0,126.0,122.8,123.6,-1.9,4272.0,128.0,526.71
2019-07-10,123.6,126.0,123.6,126.0,1.94,3229.0,100.0,405.05
2019-07-09,123.6,124.8,121.2,123.6,0.0,2613.0,107.0,322.54
2019-07-08,127.0,127.4,122.0,123.6,-3.13,5819.0,222.0,723.07
2019-07-05,130.0,132.0,127.2,127.6,-0.93,9680.0,295.0,1256.65
2019-07-04,130.0,132.0,128.6,128.8,-0.62,3021.0,112.0,392.72
2019-07-03,127.8,129.6,125.8,129.6,3.18,5698.0,169.0,724.62
2019-07-02,129.4,129.4,125.6,125.6,-3.53,7121.0,243.0,903.18
2019-07-01,135.6,136.8,130.2,130.2,-1.36,6032.0,218.0,808.52
2019-06-28,130.0,134.2,129.4,132.0,1.69,12374.0,301.0,1639.06
2019-06-27,123.4,130.0,123.0,129.8,5.19,7647.0,213.0,966.28
2019-06-26,122.2,125.0,119.4,123.4,-0.32,7959.0,222.0,970.61
2019-06-25,126.2,127.2,121.2,123.8,-2.52,4428.0,219.0,546.43
2019-06-24,123.0,127.6,123.0,127.0,4.96,5476.0,189.0,690.12
2019-06-21,116.0,123.6,116.0,121.0,4.67,12113.0,233.0,1469.51
2019-06-19,114.0,117.6,114.0,115.6,0.87,3079.0,140.0,355.83
2019-06-18,119.0,119.0,112.6,114.6,-3.7,11102.0,330.0,1278.06
2019-06-17,122.0,123.0,114.8,119.0,-2.46,20316.0,455.0,2381.73
2019-06-14,124.0,124.0,121.2,122.0,-1.61,3983.0,99.0,488.65
2019-06-13,125.0,125.0,123.4,124.0,-0.8,4294.0,114.0,532.12
2019-06-12,127.0,127.0,123.4,125.0,-1.57,3436.0,116.0,429.63
2019-06-11,127.0,127.2,125.2,127.0,0.16,4020.0,94.0,508.68
2019-06-10,130.2,132.0,125.2,126.8,-2.61,8925.0,257.0,1132.9
2019-06-07,125.0,131.8,122.2,130.2,4.49,10639.0,241.0,1349.11
